date,entry,exit,qty,direction,pnl,capital
2018-10-31 09:35:00,10224.9,10214.6751,130,1,-1369.2369999999028,568916.3888750012
2018-10-31 11:05:00,10142.3,10152.442299999999,130,-1,-1358.498999999938,567557.8898750013
2018-10-31 11:40:00,10182.65,10192.83265,130,-1,-1363.7445000000844,566194.1453750012
2018-10-31 11:50:00,10185.55,10195.73555,130,-1,-1364.1215000000193,564830.0238750012
2018-10-31 12:00:00,10188.5,10198.6885,130,-1,-1364.5050000000265,563465.5188750012
2018-10-31 13:00:00,10245.85,10235.604150000001,130,1,-1371.9604999999137,562093.5583750013
2018-10-31 13:55:00,10241.9,10298.23045,130,1,7282.9584999999315,569376.5168750013
2018-10-31 15:00:00,10310.65,10367.358575,130,1,7332.114750000073,576708.6316250013
2018-10-31 15:25:00,10389.2,10378.810800000001,130,1,-1390.5959999999504,575318.0356250014
2018-11-02 10:15:00,10477.75,10535.377625,130,1,7451.591249999892,582769.6268750014
2018-11-02 14:50:00,10553.55,10542.996449999999,130,1,-1411.9615000000704,581357.6653750013
2018-11-05 09:15:00,10545.05,10534.504949999999,130,1,-1410.8565000000817,579946.8088750012
2018-11-06 09:45:00,10583.5,10572.9165,130,1,-1415.8550000000832,578530.953875001
2018-11-06 10:50:00,10570.25,10559.67975,130,1,-1414.132500000087,577116.821375001
2018-11-06 13:45:00,10552.9,10542.347099999999,130,1,-1411.8770000000768,575704.9443750009
2018-11-09 11:15:00,10618.6,10607.9814,130,1,-1420.4179999999724,574284.526375001
2018-11-09 12:15:00,10618.3,10607.6817,130,1,-1420.3790000000117,572864.147375001
2018-11-12 09:50:00,10627.75,10617.12225,130,1,-1421.6074999999546,571442.5398750011
2018-11-12 15:15:00,10542.15,10484.168174999999,130,-1,7497.637250000098,578940.1771250012
2018-11-12 15:25:00,10468.7,10479.1687,130,-1,-1400.9309999999277,577539.2461250012
2018-11-14 09:15:00,10570.95,10629.090225,130,1,7518.229249999895,585057.4753750011
2018-11-14 09:30:00,10648.85,10638.20115,130,1,-1424.350499999946,583633.1248750011
2018-11-15 09:25:00,10607.4,10596.792599999999,130,1,-1418.9620000001014,582214.1628750011
2018-11-15 10:05:00,10583.0,10572.417,130,1,-1415.79000000007,580798.372875001
2018-11-16 09:15:00,10583.75,10641.960625,130,1,7527.381249999962,588325.754125001
2018-11-19 09:15:00,10648.9,10707.46895,130,1,7573.9635000001,595899.7176250011
2018-11-19 14:25:00,10733.45,10722.716550000001,130,1,-1435.3484999999637,594464.3691250011
2018-11-20 09:15:00,10743.1,10732.3569,130,1,-1436.6029999999591,593027.7661250011
2018-11-21 09:55:00,10669.5,10610.81775,130,-1,7588.692499999979,600616.4586250011
2018-11-21 14:10:00,10606.35,10616.95635,130,-1,-1418.8255000000026,599197.6331250011
2018-11-21 14:30:00,10620.15,10630.77015,130,-1,-1420.6195000000844,597777.0136250011
2018-11-22 09:30:00,10624.75,10635.37475,130,-1,-1421.2175000001116,596355.7961250009
2018-11-22 11:10:00,10609.3,10619.9093,130,-1,-1419.2090000000098,594936.5871250009
2018-11-22 12:20:00,10611.5,10622.1115,130,-1,-1419.4950000001154,593517.0921250008
2018-11-22 14:45:00,10610.65,10552.291425,130,-1,7546.614750000026,601063.7068750008
2018-11-26 09:15:00,10532.9,10543.4329,130,-1,-1409.27700000002,599654.4298750008
2018-11-26 13:15:00,10540.7,10551.2407,130,-1,-1410.2909999999429,598244.1388750009
2018-11-26 13:30:00,10554.6,10565.1546,130,-1,-1412.0979999999327,596832.040875001
